;;;;;;;;;;;;;;;;;;;;;
Base articles - Vente produits;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Classification article;;;Article;;;;;;Visible dans les outils;;Tarification;;;;;;Unité de mesure article;;;;
Catalogue;Famille;Sous-famille;Code;"Libellé court
(JDE, BL)";"Libellé commercial
(Devis, rapport, facture, OCW, UNITEC)";Statut article;Statut Stock;Article soumis à restriction client;OCW;UNITEC;Famille;Sous-famille;Code sous-Famille;"Tarif de référence
(pour unité de mesure principale)";Code de regroupement;Libellé code regroupement;Unité de mesure principale;Unité de mesure d'appro;Unité de mesure par défaut en nomenclature de pièces détachées;Conversion unité de mesure appro;Conversion unité de mesure nomenclature
CATEGORIE_ARTICLE;FAMILLE_ARTICLE;SOUS_FAMILLE_ARTICLE;CODE;LIBELLE;LIBELLE_COMMERCIAL;STATUT_ARTICLE;STATUT_STOCK;Art_sous_restriction;OCW;UNITEC;LIB_FAMILLE_TARIFAIRE;LIB_SOUS_FAMILLE_TARIFAIRE;SOUS_FAMILLE_TARIFAIRE;TARIF_REF_UM_PRIN;CODE_REGROUPEMENT;LIBELLE_REGROUPEMENT;UM_PRINCIPAL;UM_APPRO;UM_DEFAUT_BOM;CONV_UM_APPRO;CONV_UM_BOM
Catalogue produits;Alimentation;Autre;428660000001;ALIM 24V DEPORT LON LPT; ;Article ouvert;Article stocké MOVEX (Non livrable Protection Incendie); ;Oui; ;Vente Détection/Extinction;Alimentations;VVA;    622,00;; ;Unité;Unité;Unité; ; 
Catalogue produits;Alimentation;Autre;428660000002;ALIM 24V DEPORT LON LPT RACK; ;Article ouvert;Article stocké MOVEX (Non livrable Protection Incendie); ;Oui; ;Vente Détection/Extinction;Alimentations;VVA;    548,00;; ;Unité;Unité;Unité; ; 
Catalogue produits;Alimentation;Autre;428660000003;ALIM 48V DEPORT LON LPT; ;Article ouvert;Article stocké MOVEX (Non livrable Protection Incendie); ;Oui; ;Vente Détection/Extinction;Alimentations;VVA;    544,00;; ;Unité;Unité;Unité; ; 
Catalogue produits;Alimentation;Autre;428660000004;ALIM 48V DEPORT LON LPT RACK; ;Article ouvert;Article stocké MOVEX (Non livrable Protection Incendie); ;Oui; ;Vente Détection/Extinction;Alimentations;VVA;    470,00;; ;Unité;Unité;Unité; ; 
Catalogue produits;Alimentation;Autre;P0CC02;ALIMENTATION ELECTRIQUE 48V;Alimentation électrique 48V;Article ouvert;Article stocké Pierrelaye; ;Oui;Oui;Vente produits divers;Produits associés RIA;VP5;   2480,00;; ;Unité;Unité;Unité; ; 
Catalogue produits;Alimentation;Convertisseur;428510000004;2 DC/DC 28,5V 2,8A; ;Article ouvert;Article stocké Pierrelaye; ;Oui; ;Vente Détection/Extinction;Alimentations;VVA;   1159,00;; ;Unité;Unité;Unité; ; 
Catalogue produits;Alimentation;Convertisseur;428510000005;2 DC/DC 57,3V 1.4A; ;Article ouvert;Article stocké Pierrelaye; ;Oui; ;Vente Détection/Extinction;Alimentations;VVA;   1153,00;; ;Unité;Unité;Unité; ; 
Catalogue produits;Alimentation;Convertisseur;428510000010;1 DC/DC 57.3V/3A OU 28,5V/6A; ;Article ouvert;Article stocké Pierrelaye; ;Oui;Oui;Vente Détection/Extinction;Alimentations;VVA;   1343,00;; ;Unité;Unité;Unité; ; 
Catalogue produits;Alimentation;Convertisseur;428510000124;MODULE 2 DC/DC 28,5V 2.8A RACK; ;Article ouvert;Article stocké MOVEX (Non livrable Protection Incendie); ;Oui; ;Vente Détection/Extinction;Alimentations;VVA;   1301,00;; ;Unité;Unité;Unité; ; 
Catalogue produits;Alimentation;Convertisseur;428510000125;MODULE 2 DC/DC 57,3V 1.4A RACK; ;Article ouvert;Article stocké MOVEX (Non livrable Protection Incendie); ;Oui; ;Vente Détection/Extinction;Alimentations;VVA;   1317,00;; ;Unité;Unité;Unité; ; 
